ruleset_id,dataset,run_idx,class_label,cluster,cluster_label,ruleset_text,feature_type_seed,time_focus_seed,shape_terms_seed,manual_feature_type,manual_time_focus,manual_shape_terms,manual_notes
SonyAIBORobotSurface1|run3|class0,SonyAIBORobotSurface1,3,0,1,shape-trajectory,"In the early region, the series shows a peak–valley–peak pattern: after the first rise it drops sharply, then climbs again to a clear second high point before the middle. In the middle region, the series forms a wavering band around mid height, with at least one noticeable dip and rebound (up–down–up shape) instead of a smooth, continuous rise.",threshold,multi-region,"valley, peak, rise, dip",,,,
SonyAIBORobotSurface1|run3|class1,SonyAIBORobotSurface1,3,1,1,shape-trajectory,"In the early region, the series has a single main initial peak followed by a mostly continuous fall into one trough, without a second pronounced peak before that trough. From the early trough through the middle region, the series follows a largely rising trend or broad plateau up to the main middle peak, without any distinct mid-region dip between two mid-level shoulders.",shape-trajectory,multi-region,"plateau, trough, peak, rising, fall, dip",,,,
UMD|run1|class0,UMD,1,0,1,shape-trajectory,"Contains at least one pronounced narrow upward peak that rises clearly above the surrounding plateau or baseline. Apart from this peak, the signal is mostly flat in early and late regions, with a contrasting broad high or low plateau occupying much of the middle. No short, isolated deep downward troughs are present.",threshold,multi-region,"plateau, trough, peak, rise, baseline",,,,
UMD|run1|class1,UMD,1,1,1,shape-trajectory,"Early and late regions are flat and stay close to a common baseline level. The middle region forms a single wide high plateau that is clearly higher than this baseline and spans most of the middle of the series. Aside from the two plateau edges, the signal has no strong local spikes or dips.",shape-trajectory,multi-region,"plateau, baseline, spike, dip",,,,
UMD|run1|class2,UMD,1,2,1,shape-trajectory,"Contains at least one short, sharp deep trough where values briefly fall far below the surrounding baseline or plateau and then quickly return. Outside these troughs, the signal is piecewise flat, with early and late regions near the same baseline and at most one broad plateau or valley in the middle.",threshold,multi-region,"plateau, valley, trough, fall, baseline",,,,
UMD|run2|class0,UMD,2,0,1,shape-trajectory,"The main feature is a long flat block in the middle at a level very different from the early and late segments, either as a deep central valley or as a high plateau whose rise already begins in the early region. The series shows no very narrow, V-shaped deep dips; any extreme excursion is a broad valley or a broad hump.",shape-trajectory,multi-region,"plateau, valley, rise, dip, block",,,,
UMD|run2|class1,UMD,2,1,1,shape-trajectory,"A single broad, almost rectangular high plateau is confined to the middle segment and sits clearly above both the early and late segments. Early and late segments stay near the same medium level with only small noise and no deep valleys, narrow spikes, or V-shaped dips.",threshold,multi-region,"plateau, valley, spike, dip",,,,
UMD|run2|class2,UMD,2,2,1,shape-trajectory,"At least one very narrow, V-shaped dip occurs in the early or late segment, dropping far below the neighbouring values. Apart from these dips, the middle segment forms a broader block (either a high plateau or a low valley) whose level is clearly different from the early and late baselines.",threshold,multi-region,"plateau, valley, baseline, dip, block",,,,
UMD|run3|class0,UMD,3,0,1,shape-trajectory,"Early or late region contains a pronounced narrow upward peak that is much taller than the surrounding baseline. Between the baseline segments, the middle region forms a relatively flat block so the strong upward peak appears as a short isolated event.",shape-trajectory,multi-region,"peak, baseline, block",,,,
UMD|run3|class1,UMD,3,1,1,shape-trajectory,"A single broad high plateau occupies the middle region, with values clearly higher than both early and late regions. Early and late regions stay near a common lower baseline and do not show any sharp peaks or deep troughs.",shape-trajectory,multi-region,"plateau, trough, peak, baseline",,,,
UMD|run3|class2,UMD,3,2,1,shape-trajectory,"Early or late region contains at least one pronounced narrow downward spike that drops well below the surrounding baseline. Apart from these spikes, the series is comparatively flat, typically with a broad plateau in the middle, so the downward spike appears as an isolated deep trough.",threshold,multi-region,"plateau, trough, baseline, spike",,,,
