participant_id,group,task_number,dataset,condition,inst1_pred,inst2_pred,inst3_pred,inst4_pred,inst5_pred,inst6_pred,inst7_pred,inst8_pred,inst9_pred,inst10_pred,inst1_confidence,inst2_confidence,inst3_confidence,inst4_confidence,inst5_confidence,inst6_confidence,inst7_confidence,inst8_confidence,inst9_confidence,inst10_confidence,rating_understood_classes,rating_information_sufficient,rating_easy_to_apply,rating_matched_visible_patterns,rating_confident,rating_too_vague,rating_too_much_detail,task_note
P06,B,1,Chinatown,prototypes_rules,2,1,1,2,2,2,2,1,1,2,5,3,5,4,5,5,5,5,5,4,4,3,4,4,4,2,2,None
P06,B,2,ECG200,prototypes_only,2,1,1,2,2,1,2,1,1,1,5,5,3,5,None,2,2,3,5,5,3,2,2,2,3,2,2,Some examples from red seem to fit the explanation from Blue
P07,B,1,Chinatown,prototypes_rules,2,2,1,2,2,2,2,1,1,1,4,3,3,4,5,4,4,4,4,2,4,4,4,4,4,2,2,None
P07,B,2,ECG200,prototypes_only,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,1,4,2,None
P08,B,1,Chinatown,prototypes_rules,2,1,1,2,2,2,2,1,1,1,4,3,5,2,5,3,3,5,5,2,4,4,4,4,4,2,1,None
P08,B,2,ECG200,prototypes_only,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,5,1,None
P09,B,1,Chinatown,prototypes_rules,2,2,1,2,2,2,2,1,1,1,3,3,3,4,3,3,3,4,4,2,4,3,2,3,2,2,2,"Difficult task, dont think ive ever classified something so insadistying before. "
P09,B,2,ECG200,prototypes_only,2,1,1,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,"Ver, very hard to classify. The lack off text to explain what I was looking at made it even harder"
P10,B,1,Chinatown,prototypes_rules,2,1,1,1,2,2,1,1,1,1,4,2,4,1,5,3,1,5,5,2,5,4,4,4,3,2,3,None
P10,B,2,ECG200,prototypes_only,2,1,1,2,2,1,1,1,1,1,3,5,4,4,1,3,2,5,2,3,4,4,4,4,1,3,3,"Since they were so similar, I looked at were the valley was located on average"
P11,C,1,ECG200,prototypes_only,2,1,1,2,2,1,1,1,1,1,4,4,4,4,4,4,4,3,3,4,2,2,3,4,4,3,1,None
P11,C,2,Chinatown,prototypes_rules,2,1,1,,2,2,2,1,1,1,5,5,5,5,5,5,5,5,5,3,4,4,4,4,4,2,1,None
P12,C,1,ECG200,prototypes_only,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,5,1,None
P12,C,2,Chinatown,prototypes_rules,2,1,1,2,2,2,2,1,1,1,3,1,3,2,4,3,3,3,4,1,4,4,4,4,4,2,2,None
P13,C,1,ECG200,prototypes_only,2,1,1,2,2,2,1,1,1,1,4,4,5,3,4,2,1,5,5,5,4,4,4,5,4,2,2,None
P13,C,2,Chinatown,prototypes_rules,2,1,1,2,2,2,2,1,1,1,4,4,5,2,5,3,4,5,5,3,5,5,5,5,5,2,2,None
P14,C,1,ECG200,prototypes_only,2,1,1,2,2,1,2,2,1,1,5,3,3,4,2,3,3,3,4,4,2,1,2,3,2,4,3,None
P14,C,2,Chinatown,prototypes_rules,2,1,2,2,2,2,2,1,1,1,5,4,2,5,4,4,3,4,5,2,4,2,3,4,3,3,2,None
P15,C,1,ECG200,prototypes_only,2,1,1,2,2,1,2,1,2,1,3,5,4,4,4,4,5,5,3,3,3,3,2,2,3,4,2,None
P15,C,2,Chinatown,prototypes_rules,2,1,1,2,2,2,2,1,1,2,4,2,4,5,3,4,5,4,4,3,4,4,4,4,3,3,2,None
P16,D,1,ECG200,prototypes_rules,2,1,1,2,2,1,1,1,1,1,3,3,3,4,3,3,3,3,3,3,4,2,3,4,2,3,2,None
P16,D,2,Chinatown,prototypes_only,2,2,2,2,2,1,2,1,1,1,3,3,3,3,3,3,3,3,3,3,4,3,4,4,2,3,2,None
P17,D,1,ECG200,prototypes_rules,2,2,1,2,2,2,1,2,1,2,5,4,4,5,5,5,4,5,5,4,2,2,2,2,2,4,3,None
P17,D,2,Chinatown,prototypes_only,2,2,2,2,1,2,2,1,1,1,5,4,4,3,3,4,4,3,3,3,2,2,2,2,2,4,1,None
P18,D,1,ECG200,prototypes_rules,2,1,1,2,2,2,1,1,1,1,5,4,4,4,5,3,3,3,4,5,4,4,3,4,4,3,3,None
P18,D,2,Chinatown,prototypes_only,2,2,1,2,2,2,2,1,1,1,4,3,4,3,4,4,4,4,4,3,4,3,3,3,3,3,3,None
P19,D,1,ECG200,prototypes_rules,2,1,1,2,2,1,2,1,2,1,4,3,3,4,4,3,3,4,3,3,2,1,2,4,1,4,1,None
P19,D,2,Chinatown,prototypes_only,2,2,2,2,2,1,2,1,1,1,4,4,2,4,4,3,4,3,4,3,4,3,4,3,4,4,2,None
P20,D,1,ECG200,prototypes_rules,2,1,1,2,2,2,1,1,1,1,5,,5,5,5,5,4,4,4,4,4,4,2,4,4,2,4,None
P20,D,2,Chinatown,prototypes_only,2,1,1,2,2,2,2,1,1,1,3,2,3,2,3,3,2,3,3,2,3,3,3,3,2,3,3,The rule that I used was that the red class had a sharp drop in the biginning.
